Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy
1,0.30115729570388794,0.08707133680582047,0.9080356955528259,0.9736904501914978
2,0.0774708166718483,0.05812937766313553,0.9758333563804626,0.9809523820877075
3,0.05327004939317703,0.05178672820329666,0.9829761981964111,0.983214259147644
4,0.038943640887737274,0.05879759043455124,0.9872024059295654,0.9819047451019287
5,0.03363586962223053,0.04309077933430672,0.9891666769981384,0.9864285588264465
6,0.025624986737966537,0.04786359518766403,0.9914583563804626,0.9864285588264465
7,0.019790608435869217,0.04347524046897888,0.9937499761581421,0.9871428608894348
8,0.01652977615594864,0.040382348001003265,0.994523823261261,0.989642858505249
9,0.014066926203668118,0.041834983974695206,0.9954464435577393,0.988095223903656
10,0.012323648668825626,0.04434708133339882,0.9960119128227234,0.9883333444595337
